i,r,t,Value
upv_4,CA_SE,2020,18.8
upv_4,CA_SE,2023,22.4
upv_4,CA_SE,2026,22.4
upv_4,CA_SE,2029,22.4
upv_4,CA_SE,2032,22.4
upv_4,OR_E,2020,18.0
upv_4,OR_E,2023,73.0
upv_4,OR_E,2026,73.0
upv_4,OR_E,2029,73.0
upv_4,OR_E,2032,73.0
upv_5,CA_LA,2010,1.2
upv_5,CA_LA,2015,772.7
upv_5,CA_LA,2020,1846.7
upv_5,CA_LA,2023,1918.0
upv_5,CA_LA,2026,2612.270149
upv_5,CA_LA,2029,4368.447761
upv_5,CA_LA,2032,4368.447761
upv_5,CA_N,2015,22.2
upv_5,CA_N,2020,25.2
upv_5,CA_N,2023,25.2
upv_5,CA_N,2026,342.835896
upv_5,CA_N,2029,463.847112
upv_5,CA_N,2032,463.847112
upv_5,CA_S,2010,1.1
upv_5,CA_S,2015,1825.4
upv_5,CA_S,2020,3832.6
upv_5,CA_S,2023,5188.8
upv_5,CA_S,2026,8514.22
upv_5,CA_S,2029,18996.491218
upv_5,CA_S,2032,18996.491218
upv_5,CA_SE,2015,1844.99
upv_5,CA_SE,2020,4193.79
upv_5,CA_SE,2023,7304.89
upv_5,CA_SE,2026,9618.95
upv_5,CA_SE,2029,11066.677612
upv_5,CA_SE,2032,11066.677612
wind-ons_2,CA_N,2010,1.0
wind-ons_2,CA_N,2015,1.0
wind-ons_2,CA_N,2020,1.0
wind-ons_2,CA_N,2023,1.0
wind-ons_2,CA_N,2026,1.0
wind-ons_2,CA_N,2029,1.0
wind-ons_2,CA_N,2032,1.0
wind-ons_2,CA_S,2015,2.0
wind-ons_2,CA_S,2020,9.3
wind-ons_2,CA_S,2023,14.9
wind-ons_2,CA_S,2026,14.9
wind-ons_2,CA_S,2029,14.9
wind-ons_2,CA_S,2032,14.9
wind-ons_3,CA_N,2015,1.0
wind-ons_3,CA_N,2020,1.0
wind-ons_3,CA_N,2023,1.0
wind-ons_3,CA_N,2026,1.0
wind-ons_3,CA_N,2029,1.0
wind-ons_3,CA_N,2032,1.0
wind-ons_3,CA_S,2032,378.0
wind-ons_3,WA_E,2026,126.0
wind-ons_3,WA_E,2029,126.0
wind-ons_3,WA_E,2032,126.0
wind-ons_4,CA_N,2010,17.0
wind-ons_4,CA_N,2015,17.0
wind-ons_4,CA_N,2020,17.0
wind-ons_4,CA_N,2023,17.0
wind-ons_4,CA_N,2026,149.8
wind-ons_4,CA_N,2029,149.8
wind-ons_4,CA_N,2032,149.8
wind-ons_4,CA_S,2029,1824.0
wind-ons_4,CA_S,2032,3282.0
wind-ons_4,WA_W,2032,1332.0
wind-ons_5,CA_LA,2029,228.0
wind-ons_5,CA_LA,2032,228.0
wind-ons_5,CA_N,2010,38.0
wind-ons_5,CA_N,2015,40.0
wind-ons_5,CA_N,2020,40.0
wind-ons_5,CA_N,2023,40.0
wind-ons_5,CA_N,2026,40.0
wind-ons_5,CA_N,2029,40.0
wind-ons_5,CA_N,2032,40.0
wind-ons_5,CA_S,2029,612.0
wind-ons_5,CA_S,2032,672.0
wind-ons_5,CA_SE,2015,4.0
wind-ons_5,CA_SE,2020,4.0
